# Korean translation source -- In Falsus
# Format: <id><TAB><korean>, with U+23CE for an in-text line break.
# The original Japanese lives in the game install; run
#   ifalsus.py extract-translations && tools/dump_jp.py <NNN>
# to read it alongside this file.
107-001	주위는 조용하고, 하늘도 어둡다…….
107-002	……
107-003	어제……,
107-004	내가 프레이야에게 들은 말……,⏎'담당자가 드물게 해 준 조언'이라고 했었지.
107-005	혼자 있을 때, 자신의 내면을 들여다보라고, 라든가.
107-006	……
107-007	그 사람, 아는 걸까……?
107-008	내가 그럴 수 있을 만큼 강하지 않다는 걸…….
107-009	왜냐면 나, 혼자 있는 게 싫어서, 그 사람과 마주친 거니까.
107-010	으음…….
107-011	뭐……어떤 의미로는……,
107-012	……지금도 사실은 혼자인 거나 마찬가지인지도.⏎다들 수다를 떠는 가운데……나는 드물게 듣기만 하고 있다.
107-013	마음이 편안해져…….
107-014	그래, 혼자뿐이다.
107-015	눈을 감는다.
107-016	자기 마음속에, 처음 다이브했을 때……,
107-017	……나는 아마……,⏎내 가장 싫은 부분에, 압도당해 버린 것 같아.
107-018	정말 바보 같아.
107-019	나는 그런……우울한 타입이 아닌데.⏎……남과 함께 있을 때는.
107-020	내 안에는 빛이 있다───진부한 표현이 돼 버리지만.
107-021	……속마음을 말하자면, 나는 다이브가 겁이 났다.⏎지난번 일 때문이다.
107-022	그런데 말이야, 사실은……,
107-023	알고 있어, 나는.⏎소중한 친구의 얼굴을, 비추는 눈부심을 봐 왔으니까.
107-024	내 안에는……,
107-025	빛이 있다.
107-026	다들이 소중히 여겨 되돌려 주거나,⏎따뜻함을 느끼게 해 주는, 빛이.
107-027	때로는 메이처럼,⏎그걸 귀찮게 여기는 친구도 있을지 모르지만……,
107-028	그래도 그런 그 애도 웃어 주니까.
107-029	나는……,
107-030	기뻐.⏎……살아 있다는 게, 정말 기뻐.
107-031	누군가와 함께 있을 수 있는 것도……기뻐.
107-032	그렇게 생각하고 있으면, 마음이 노란색으로 가득 차 간다.
107-033	그건 태양의 색이고, 햇빛의 색.
107-034	행복 그 자체, 그런 색.
107-035	그걸 온몸으로 받으며, 편안함에 감싸이면서……,
107-036	나는 다시 한 번, '나 자신'을 헤아려 보기로 했다.
107-037	평소라면 미워서 견딜 수 없는, 이 마음을……,
107-038	오늘이라면, 분명……,
107-039	……사랑스럽게 여겨질 무언가를, 찾을 수 있을 것 같으니까.
