# Korean translation source -- In Falsus
# Format: <id><TAB><korean>, with U+23CE for an in-text line break.
# The original Japanese lives in the game install; run
#   ifalsus.py extract-translations && tools/dump_jp.py <NNN>
# to read it alongside this file.
045-001	으음…….
045-002	조용하다. 린한테 같이 가 달라고 부탁할걸 그랬나.⏎그 애, 이 근처까지 와 본 적 있으려나?
045-003	창밖으로 눈을 돌리니 흘러가는 경치는 잿빛이다.⏎별것 없는 풍경이 계속된다.
045-004	문득 전철로 통학하던 시절이 떠오른다. 조금 그리울지도.
045-005	기숙사가 여러모로 편하지만 그때 보던 경치가 훨씬 좋았다.
045-006	───뭐, 지금은 사람 구경이나 할까.
045-007	……그렇다고 해도 전철 안엔 인기척이 거의 없다.⏎그럴 만도 하지, 지금 가는 곳은 오피스 밀집 지역, 게다가 퇴근 무렵.⏎생활비 벌러 오는 것 말고는 올 이유도, 즐길 만한 곳도 없는 동네다.
045-008	이 전철에 탄 건 나와 옷차림이 제각각인 남녀 몇 명, 그리고……
045-009	……흐응?
045-010	또래인가? 근데 교복이 아니네. 학교 막 끝났는데.
045-011	세련된 옷……저 피어싱도 멋지다.
045-012	게다가 저 다리…….
045-013	분명 운동하는 걸까, 헬스장 같은 데서.
045-014	그 여자애는 폰에 집중하고 있는 듯했다.⏎모처럼이니 찬찬히 관찰하기로 한다.
045-015	이런 패션 좋다. 보고 있으면 시원시원하달까.
045-016	……뭐, 바람은 좀 과하게 잘 통할 것 같지만.
045-017	……
045-018	……!
045-019	큰일이다, 눈 마주쳐 버렸나……?
045-020	성가신 사람일지도 모르니 자극하지 않는 게 좋겠지.
045-021	자연스럽게 자세를 고쳐 앉아 우연히 눈이 마주친 척해 본다.
045-022	……해 보려고는 했는데. 자꾸만 그 애를 보게 된다.⏎특히 저 다리다───다시 꼬을 때마다 보게 된다.
045-023	꼭 모델 촬영 같다. 정신 차려 보면 눈을 못 떼고 있다.
045-024	아, 좀 많이 부럽다…….
045-025	속으로 끙끙대며 전철에서 내리자 그 애도 같이 내렸다.
045-026	……어, 설마?
045-027	건네받은 주소를 확인한다.⏎시야 한구석에서 그 애도 똑같이 어느 종이를 확인하는 게 보였다.
045-028	역을 나와서……깨닫고 만다. 그 애와 같은 방향으로 가고 있다는 걸.
045-029	……큰일이다, 분명 미행한다고 생각할 거다.⏎아니, 뭐, 실제로 상황으로는 그렇긴 하지만…….
