# Korean translation source -- In Falsus
# Format: <id><TAB><korean>, with U+23CE for an in-text line break.
# The original Japanese lives in the game install; run
#   ifalsus.py extract-translations && tools/dump_jp.py <NNN>
# to read it alongside this file.
106-001	……후우우우.
106-002	메이와 스토리,⏎그리고 니아 세 사람은 저마다 멋진 옷을 샀다…….
106-003	그중에서도 좋았던 건 역시 니아와 스토리.⏎니아는 옷을 고른 뒤에도 탈의실에서 나오게 하느라 애먹었지만,⏎그 보람은 있었다…….
106-004	……스토리는 그 정반대.⏎귀엽게 입고 있다는 걸 완전히 알고 있었으니까.
106-005	메이 옷부터 고르기로 한 것도, 나와 아이리스의 센스가 통한 거지.⏎메이도 경계를 풀고, 우리 둘까지 포함한 전원의 옷 고르기에⏎아주 진지하게 껴 줬다.
106-006	그다음은……메이가 강하게 원해서, 엉망진창인 영화를 봤다.⏎B급 영화가 취미라니, 상상도 못 했어…….
106-007	그래도 다 같이 소리 내서 즐길 수 있었던 건,⏎극장이 텅텅 비었던 덕분.
106-008	이런저런 일도 있었지만, 지금은 일단 한숨 돌리는 중.⏎조금 있다가 공원을 산책해도 좋을지도?⏎저녁도 이대로 다 같이 먹을 수 있으려나?
106-009	참고로 지금은 메이랑 단둘이. 아이리스, 니아, 스토리는⏎근처 꽃집에 들어가 있다.⏎───작은 가게라서, 나와 메이는 사양한 거다.
106-010	으으으음……
106-011	……
106-012	"……"
106-013	"……왜? 뭘 보는 거야?"
106-014	"……나, 잘하고 있는 거야?"
106-015	"하아?"
106-016	"제가 세운 오늘 계획, 평가를 부탁합니다.⏎자, 어서!"
106-017	"'평가'라니, 그게 뭔……? 그리고 왜 하필 나야?"
106-018	"솔직하게 답해 줄 것 같아서."
106-019	"이 코에부스 카일에서⏎솔직하게 안 답할 녀석이 어디 있어?"
106-020	으음, 하고 두 팔을 위로 쭉 뻗는다.
106-021	"그건 대부분 거짓말을 못 해서 입을 다무는 것뿐이잖아."
106-022	"근데 메이는 그러지 않잖아. 자기 생각이 뚜렷할 때는 말이지."
106-023	"……"
106-024	"미리 말해 두자면 나, 그런 식으로 분석당하는 거 싫어해……"
106-025	"아이쿠……"
106-026	"……"
106-027	"……오늘은 뭐……나쁘지 않아.⏎그러고 보니, 너 덕분인지도."
106-028	오……!
106-029	"근데 그게 오히려 문제일지도.⏎이것저것 생각하게 된다니……평소 나답지 않으니까."
106-030	오?
106-031	"'이것저것 생각하게 돼'……어떤 생각을?"
106-032	"나이 드는 거. 그거 말고 뭐가 있어?"
106-033	"흐음……"
106-034	"너처럼 친구들한테 둘러싸이는 걸 좋아하는 사람이……"
106-035	"……미래에 대해 생각 안 할 리 없잖아?"
106-036	"아무리 눈부신 미래가 기다려도,⏎졸업하고 나면 친구들과는 멀어지잖아……"
106-037	"그런 건 예전부터 '흔한 얘기'잖아.⏎신경 안 쓰여?"
106-038	"……생각보다 훨씬 시니컬하구나, 메이."
106-039	"현실적일 뿐이야.⏎솔직한 답을 원한 건 너잖아?"
106-040	"그래도 나는 지금 친구들과 함께라서 행복하니까.⏎그걸로 충분해."
106-041	"계속 그렇게 생각할 수 있어?"
106-042	"어?"
106-043	"어떤 순간에도 행복해?"
106-044	"……"
106-045	"아니. 그런 사람은 없잖아."
106-046	"그럴지도."
106-047	"근데 말이야, 평소에 그렇게 즐거워 보인다는 건……"
106-048	"슬플 때는 정말 괴로운 거 아니야? 그야말로 최악의 기분이라고."
106-049	"그건……음─"
106-050	"알아."
106-051	어……?
106-052	"전부 다 잘 되길 바라다가……,⏎안 되면 쓰레기 같은 기분이 드는 거잖아. 그렇지?"
106-053	……
106-054	"아 그래도, 물어본 건 '오늘 계획' 평가였지,⏎'인간 총평'은 아니었잖아. 미안, 얘기가 샜네."
106-055	흥.
106-056	"우리 둘이 닮은 구석이 있다는 걸, 네 입에서 듣게 되다니."
106-057	"한 가지 결정적으로 다르긴 하지만."
106-058	"오? 대체 어디?"
106-059	……또 농담 반으로 깔볼 셈이지.
106-060	"왜냐면 아야메는 마음씨가 착하잖아."
106-061	"……!"
106-062	"그, 그런 아부까지 할 줄 아는구나……!?"
106-063	"그런가 봐."
106-064	"뭐, 걱정은 마. 너한테 잘 보이려는 생각 따윈 눈곱만큼도 없으니까."
106-065	"지금보다 더 같이 있고 싶다든가, 그런 생각은 전혀 없어."
106-066	……확 띄웠다가 툭 떨어뜨리기. 정석이네.
106-067	"흐음……! 그래도 즐기긴 하고 있잖아?"
106-068	그녀는 마침내 돌아오는 세 사람을 보며⏎히죽 웃더니 말했다───.
106-069	"아까 '지금보다 더'라고 했잖아.⏎어쩌면 '이미 아주 다정한 친구'라고 생각하고 있을지도 모르지."
106-070	"그래서……그런 뜻으로 말한 거야?"
106-071	그녀는 입술에 손가락 하나를 대고, 희미하게 웃는다.
106-072	"비밀."
106-073	……건방져──!
106-074	뭐, 그래도……
106-075	불만스레 볼을 부풀리면서도, 나도 모르게 웃음이 나온다.⏎기분 전환에는……좋은 대화였나 봐.⏎다음에 또 이런 얘기도 하고 싶다…….
106-076	자, 일단 지금은───.
106-077	이대로 오늘이라는 하루를 보내기로 할까…….
