# Korean translation source -- In Falsus
# Format: <id><TAB><korean>, with U+23CE for an in-text line break.
# The original Japanese lives in the game install; run
#   ifalsus.py extract-translations && tools/dump_jp.py <NNN>
# to read it alongside this file.
228-001	밤 3시…….
228-002	크게 숨을 들이쉬고…… 내쉰다…….
228-003	완강히 눈을 감아 보지만───,
228-004	잠들지 못한다. 잘 수 있을 것 같지 않다.
228-005	오늘, 또 다들을 만나는 것에 대한 불안과…….
228-006	그보다 더, 아마 나는 화가 나 있는 거다. 끓어오를 만큼.
228-007	눈을 뜨면, 인정해야만 하게 될 것 같아서.
228-008	그러니까 그저……,
228-009	……지금은, 마주하고 있다.⏎무엇보다도, 나를 화나게 하는 것과.
228-010	그것은 천상이라는 개념과.⏎그리고 그것을 부수고 싶어 하는 이 마음과.
228-011	그것과, 새로이 싹튼 예감과도 마주하고 싶다.⏎즉 앞으로 바뀔 수 있을지도 모르는 여러 가지와,⏎그것을, 함께라면 이룰 수 있을지도 모르는 친구와.
228-012	마음뿐으로, 닿을지는 모르겠지만……그렇게 되길 바라는 거다.
228-013	뇌리를 스치는, 아야메 씨.⏎이해해 주지 않았고, 하려고도 하지 않았다.
228-014	……
228-015	……스토리 씨가 말한 가설, 맞는 걸까.
228-016	여기 있으면서, 아야메 씨 마음에 호소할 수 있는 걸까.
228-017	그녀의 꿈에 들어갈 수 있다면, 어쩌면……,
228-018	……
228-019	……못 할 이유가 있는 건 아니다. 여긴, 해 보자.
228-020	아야메 씨 있는 곳으로 가서……,
228-021	그 세계에 대한 이해도, 깊게 하고 싶으니까.
228-022	어떨까, 가망 없을지도 모르지만……,⏎그런 건 지난 몇 달, 몇 개나 극복해 왔으니까.
228-023	나는 그저, 알고 싶은 거다.⏎마음끼리라면 더 잘, 깊이 서로를 이해할 수 있는지를.⏎왜냐면 여긴, '연결되기 위한 필드'잖아?
228-024	나는 그, 늘 사람과 얘기하기를 너무 무서워해 버린다.⏎그런데, 여기라면, 어떨까?⏎더 잘, 연결될 수 있을까…….
228-025	입구는 찾았다. 나머지는, 데려가 달라고 하자…….⏎집중하는 거야───아야메 씨, 아야메 씨에게.
228-026	……
228-027	……?
228-028	……어떻게 된 거야? 그리고 이 색은……?
228-029	바인드 색과, '마인드스케이프'의 색은 같다고 생각했어.⏎그런데 이런……누군가의 목이 이런 색으로 물들어 있는 건───,⏎교과서에서도 본 적이 없어.
228-030	그리고 여긴……,
228-031	……아무것도 느껴지지 않는다, 라기보다,⏎회색 마음이라도, 이윽고 냉정함을 느끼게 되는데. 이건……,
228-032	……마치, 현실 세계로 뛰쳐나와 버린 것 같아.⏎아무리 그래도 그런 건, 없지만.
228-033	눈치채지 못하는 사이에 꿈을 꾸기 시작한, 그런 것도 아닌 것 같고……,
228-034	조심하면서, 우선 나아가 본다.
228-035	아무도 없는 가게들이 늘어서 있다……신문 판매점도 텅텅 비었다.
228-036	판매점엔 신문이 늘어서 있지만, 글자가 흐릿해서 못 읽는다.⏎적혀 있는 건 '무'다.
