# Korean translation source -- In Falsus
# Format: <id><TAB><korean>, with U+23CE for an in-text line break.
# The original Japanese lives in the game install; run
#   ifalsus.py extract-translations && tools/dump_jp.py <NNN>
# to read it alongside this file.
184-001	그걸 목격한 순간───,
184-002	이런 상황에서, 아리아가 옆에 있다는 사실……,
184-003	내 친구들이 다 있는데,⏎여기서 할 수 있는 게 아무것도 없다는 무력감……,
184-004	실천사가 발생한 걸 목격했을 때, 나는 무엇보다 먼저───,
184-005	굳어 버렸다.
184-006	빨리……,
184-007	도망쳐야 해, 근처 비상 셸터로.⏎거기서 구속되지 않으면……,
184-008	구속도 없이, 만에 하나 살아 있다면,⏎서로 우리───정신을 잃고 서로를 습격하고…….
184-009	아니, 하지만 애초에 피난이라 해도……!⏎몸이 폭발하는 타이밍에 어떻게 대비해야…… 어떻게 해야……,
184-010	아무튼 움직여……!
184-011	나는……,
184-012	멍하니 움직이지 않는 머리로, 주위를 확인한다……,
184-013	굳어서 움직이지 않는 헬비, 필사적으로 끌어당기는 츠루.⏎주위 녀석들은 고개를 떨구거나, 하늘을 올려다보거나───,
184-014	───아니. 저건 이상해.⏎그 광경을 보고, 넘쳐흐르던 사고가 멈췄다.
184-015	지금까지, 이런 현상은 기록에 없을 텐데…….⏎게다가 '샤드'조차 아직 날아오지 않았다.
184-016	이건 다른…… 뭔가 다른 현상이 벌어지고 있어.
184-017	츠루는…… 이성을 잃고 있네.
184-018	니아도 겁먹고 있어…… 메이와 스토리도 위험해 보이고……,
184-019	아야메는───,
184-020	아야메!
184-021	들여다본다. 그 눈에는, 빛이 없었다.⏎……이건, 이 얼굴에는 본 기억이 있다.
184-022	……그래, 그때의 니아다.⏎뒤의 거리에 의식이 사로잡혀, 나오지 못했을 때와 같은 얼굴이다……,
184-023	아야메는, 거기에……? 어째서야!? 아니, 잠깐───,⏎언제부터지…… 사로잡힌 건 지금인가, 아니면……,⏎달라.
184-024	아아, 달라. 이건, 니아와 같은 상황이다.⏎아야메의 바인드는, 다른 녀석들 같은 거짓 패턴이 아니야……,
184-025	주위는…… 츠루는 정신을 차렸나.⏎헬비는, 뭔가 사색하고 있어?⏎그리고───잠깐, 레인? 레인이 있어!?
184-026	레인이 여기에……,
184-027	"휴우……"
184-028	레인은 한숨을 쉬고, 아리아와 나 쪽을 본다.
184-029	"평가 완료. 상황은 대체로, 충분히 양호, 정도려나.⏎이 정도 어긋남이면 문제없을 것 같네"
184-030	"자, 네 차례야!"
184-031	"너, 무슨 소리야……?"
184-032	"아아…… 너한테 하는 말이 아니야"
184-033	"답해, 이거 실천사야?"
184-034	"……"
184-035	"답해! 지금 당장 필요하다고!⏎안 답하면 너───무사하지 못할 줄 알아……!"
184-036	"흠……"
184-037	"바이바이"
184-038	뒷걸음질로 돌아서, 강당 쪽으로 레인은 걸어갔다…….
184-039	"이 자식……! 어디 가는───!?"
184-040	뒤쫓으려다───순간, 누군가에게 어깨를 붙잡혀 멈춘다.
184-041	돌아보───,
184-042	───기 전에, 목에 팔이 있었다.⏎어깨를 붙잡혔던 손은 이미 뒤통수다.
184-043	순간, 숨을 못 쉬게 된다.⏎───뒤에서 조르기……!! 누구야……!!
184-044	패닉에서 정신을 차린 니아가, 뭔가 외치고……,⏎메이는 말리며, 이쪽을 응시하고 있어. 겁먹은 얼굴로.
184-045	이 팔───설마,
184-046	아리아인가……?
184-047	저항하지만 꿈쩍도 안 해.⏎전력으로 조르러 왔어. 놓을 생각은 없는 모양이다.
184-048	의식이 멀어진다…… 이제…… 못 버…티…,
184-049	……
184-050	"게붑……!!"
184-051	갑자기 아리아가 휘청했다.⏎풀린 틈에 억지로 빠져나와, 즉시 던지기에 들어간다.
184-052	아리아는 눈치채고, 당연히 올 건 던지기 봉쇄.⏎팽팽한───서로 재빨리 주위를 살피며, 아리아가 움찔한 이유를 찾는다.
184-053	……네가!? 그 녀석이 아리아에게 몸통 박치기를───!?
184-054	우왓……!
184-055	젠, 젠장……!⏎대체 몇 번째야, 여기 떨어지는 건……!
184-056	……
184-057	아……?
184-058	잠깐, 이거……!?
184-059	"윽 젠장, 너……!"
184-060	소리 나는 쪽을 보니───아리아가 헬비에게 덤벼들고 있는데……,⏎……여긴, '뒤의 거리'인가?
184-061	가볍게 아리아를 피하는 헬비는───불쾌할 정도로 경쾌하다.⏎초인적이야.⏎빛을 발하며 차례로 뛰어 물러나고, 그 아리아가 후수를 잡고 있어.
184-062	"……"
184-063	"미안해……"
