# Korean translation source -- In Falsus
# Format: <id><TAB><korean>, with U+23CE for an in-text line break.
# The original Japanese lives in the game install; run
#   ifalsus.py extract-translations && tools/dump_jp.py <NNN>
# to read it alongside this file.
153-001	"너희들 말이지……"
153-002	"어라, 그렇게 뛰어서 어쩐 일인가?"
153-003	그, 그럴……!
153-004	이런 때에…….
153-005	"뭐 하는 놀이인가?"
153-006	"예비령이 곧 울리는데?"
153-007	"오늘은 학술 교류잖아! 신나게 놀기 딱 좋잖아."
153-008	"그건 이유가 안 되는데."
153-009	"아니야 아니야, 충분해. 그렇지? 너희는 그냥 노는 거지?"
153-010	머릿속이 하얘진다.
153-011	큰일…… 이건 큰일이야.
153-012	빚이 돌아온 거다.
153-013	발단은…… 나다.⏎두 사람에 대해 알고 버렸으니까…….
153-014	몸이, 움직이지 않는다.
153-015	아무것도, 생각할 수 없다.
153-016	메, 메이───.
153-017	나는……,
153-018	아아……,
153-019	멈춰…… 버려서…….
153-020	아무것도 안 들린다.
153-021	나…… 울어 버릴───? 아왓!
153-022	소매가 끌어당겨지고 있다.
153-023	화들짝 정신을 차리니, 메이가 나에게 고개를 끄덕인다.
153-024	하우스 선생님도 키츠 선생님도, 아직 거기 있다…….⏎하지만 그 이상 뭔가 말해 올 것 같은 느낌은 아니다. 아니면───,
153-025	"뭐, 별로 괜찮아. 가라"
153-026	"둘 다, 수업에는 나가야 한다"
153-027	"그래. 우리는 다음 시간, 교사가 아니라 학교 건물 감독역이거든"
153-028	"자, 가라 가라"
153-029	두 사람에게 목례하고…… 메이의 뒤를 따라, 다시 달리기 시작한다.
153-030	대체…… 뭐가 어떻게 된 걸까…….
153-031	……후우우.
153-032	겨우 돌아왔다…….
153-033	방과 후, 아이리스 씨가 결박했던 사람들을 풀어 준 뒤,⏎스토리 씨한테서 연락이 왔다…… 계획은 잘 됐다는 모양이야!
153-034	회합을 녹음할 수 있었대!
153-035	다행이다아…… 정말 안심했어…… 한때는 어떻게 되는 줄…….
153-036	아야메 씨와 나는 기숙사 방에서, 스토리 씨, 아이리스 씨,⏎그리고 메이는 도서관. 다 같이 영상 통화 중이다.
153-037	스토리 씨가 녹음을 틀기 시작하고…….
153-038	다 같이 가만히 듣기 시작했다.
153-039	"다들 건강해 보이네"
153-040	"인사 같은 건 됐고, 얼른 끝내자고"
153-041	"그 애들 때문에, 조급한 거야?"
153-042	"그들에 관해서는, 다른 문제도 있지만…….⏎나는 그렇게까지 걱정하지 않아"
153-043	아…… 이 목소리는!! 키츠 선생님이다!
153-044	그, 그럼 하우스 선생님도 있었던 거야……?
153-045	"제일 중요한 얘기는, 어떤 분위기가 될 것 같냐, 아니야?⏎다른 선생님들이 소란을 피울지 어쩔지"
153-046	"당연히 소란스럽겠지만, 한 가지 정정이다. 그렇게 큰 문제는 아니야"
153-047	"무슨 말씀이세요, 키츠 선생님?"
153-048	……! 해냈다……! 선생님 이름이 녹음돼 있어!
153-049	"'프리덤 플랜'은 완수한 거나 다름없으니까"
153-050	"어떻게 굴러가든, 여름 이후까지 끌 일은 없어"
153-051	"드디어 실현되는구나……"
153-052	"답답한 마음도 있었지만……"
153-053	"도움이 돼서 다행이야"
153-054	"다 잘 되면 좋겠네"
153-055	"솔직히 말하면, 남몰래 하는 부정행위는 얼른 끝내고 싶어"
153-056	부, 부정행위 얘기까지 하고 있어?!⏎하지만───그건 그렇고…… 키츠 선생님…….
153-057	완전히 인상이 다르다. 평소엔…… 지루한 사람인데.
153-058	하우스 선생님은 정말 상관없는 걸까?
153-059	"'Xavier' 사이트를 하나하나 만들고, 다른 도시와 연락하고……,⏎아무리 돈이 된다 해도, 번거로운 건 번거로워"
153-060	대단해…… 'Xavier'까지 말하고 있어!⏎제 입으로…… 다 인정하고 있고, 키츠 선생님도 도왔다고……!
153-061	좋, 좋아, 이 사기꾼 교사! 이걸로 끝이다……!
153-062	"의미 없으니까. 아무리 시험에 합격해도, 하나도 쓸모가 없어"
153-063	……?
153-064	"그래. 곧 완전히 의미가 없어진다"
153-065	응? 응?
153-066	"상황은 꽤 전부터 학생회와⏎교육위원회의 음모론 수준을 넘어서 있으니까"
153-067	"대다수 사람들이 바라는 그런 건 아닐지도 모르지만……"
153-068	"……하지만 필요한 일이니까"
153-069	……
153-070	"그렇네요"
153-071	"일단 곧이라는 걸 알아서 다행이야"
153-072	"그래…… 그럼, 절차 얘기나 할까"
153-073	하우스 선생님은 없었다……,⏎혹시 계속 우리를 걱정해 준 것뿐이야?
153-074	'프리덤 플랜'이라니…… 대체 뭐야?
153-075	……단순한 부정행위 얘기가 아니라는 거야?
153-076	"이거, 사실상 현행범이네"
153-077	"처음에 누군가가 '키츠 선생님'이라고 불렀고"
153-078	"……왜 그러세요?"
153-079	"응, 유감이지만……"
153-080	"……"
153-081	"이것만으로는 부족할지도 몰라"
