# Korean translation source -- In Falsus
# Format: <id><TAB><korean>, with U+23CE for an in-text line break.
# The original Japanese lives in the game install; run
#   ifalsus.py extract-translations && tools/dump_jp.py <NNN>
# to read it alongside this file.
094-001	점심때였다. 그런 나는……,
094-002	겉치레 말은 꽤 했지만───,⏎평범하게 하루를 보내고 있다는 게, 나도 좀 놀랍다.⏎내가 사건에 휘말린 걸 아무도 모르는 것 같아서.
094-003	이건 제니아가 그런 학교라서일까……?⏎'관용적인 학교 분위기'라고 들어서, 이 학교를 고른 건 확실하지만…….
094-004	왜냐하면 '4.10.7.2'가 일으킨 마지막 사건과,⏎그 체포 소동은 실제로 세상을 크게 뒤흔들었다.⏎사람들 반응을 보면 대형 뉴스라 해도 될 정도다.
094-005	그리고 그건 즉───,⏎해커들과 연관된 인물로 내 이름이 오르내렸다는 것도⏎큰 뉴스가 됐다는 뜻이고…….
094-006	그래도 이 올베르도라는 나라에서는 흔히,⏎판정이라고 부를 만한 게 내려지기까지 시간이 걸리는 듯하다.⏎내려질지조차 분명하지 않은 경우가 많다.
094-007	애초에 어원을 따져 보면 올베르도는⏎'두루 미치는 곳'이라고도 해석되는 나라 이름이다.⏎어딘가 낙천적이지만.
094-008	……내가 태어난 고향과는 전혀 다르다.
094-009	어쨌든 내 이름을 검색해 보지는 않았다. 그게 두려움인지 불안인지───,⏎아무 일도 없었던 듯한 일상과 인터넷 반응이 뜸한 걸⏎나는 세상이 관심 없다고 받아들이기로 했다.
094-010	결과적으로 나는 사건에 연루되지 않았다고 증명되긴 했으니까.
094-011	어쩌면 그건 세상에겐 지루한 얘기인지도 모른다.⏎말 못 하는 사람이 누명을 쓰는 사례가,⏎그마저 제대로 보고되지 않는다는 걸 생각하면───,
094-012	……
094-013	응?
094-014	"스토리 씨? 괜찮아?"
094-015	갑작스러운 질문이네요.
094-016	"어? 그래? 너 지난 한 주 내내 결석했잖아!⏎금요일엔 조퇴까지 했고!"
094-017	실례지만……,⏎제 출석에 굳이 신경 쓰실 이유가 뭐죠?
094-018	"너, 지금까지 결석 한 번도 안 했잖아?⏎개근상을 놓고 겨루던 라이벌…… 그 옛 라이벌로서,⏎가능하면 좀 들어 보고 싶은데…… 무슨 일 있었어?"
094-019	이름을 먼저 여쭤봐도 될까요?⏎죄송해요, 이 나라에 온 뒤로는 사람들과 엮이지 않고⏎조용히 지내 왔거든요.
094-020	"'조용히'라니! 하핫, 말 참 잘한다!"
094-021	그런가요.
094-022	"맞다맞다, 미안───나는 토코야!⏎얘기해 본 적은 없지만…… 계속 스토리 씨를 보고 있었어!⏎갑자기 사라져서 얼마나 걱정했는지 몰라!"
094-023	……! 정말!? 거짓말이지!?
094-024	정말 나를 걱정해 준 거야……!?
094-025	얘기 한 번도 해 본 적 없는데!?
094-026	뭐야, 이 사람? 마치 나 같아…… 뭐, 이름도 모르지만.⏎이 사람이 갑자기 학교에 안 나오면, 나는 눈치챘을까?
094-027	……눈치 못 챌지도 모르겠다.⏎요즘은 집중이 안 됐으니까.
094-028	앞으로 잘 부탁해요, 토코.⏎'씨'는 안 붙여도 돼요.
094-029	"알았어, 그럼 스토리라고 부를게!"
094-030	이런…… 활기찬 사람이네.
094-031	저기요,⏎사소한 일에 휘말려
094-032	입력을 멈춘다.⏎내가 다 치길 기다리던 토코가 화면을 들여다본다.
094-033	입력한 내용을 지운다.
094-034	경찰에게 4.10.7.2의 멤버라고 의심받고 있었어요.
094-035	"'4.10.7.2'……? 잠깐, 4.10……⏎그거 뭐야, 숫자로 글자 맞춘 거야?"
094-036	네.⏎'죽음과 여름'입니다.
094-037	그녀가 내 쪽으로 몸을 기울이며 속삭인다.
094-038	"그리고…… 경찰이라니? 아까도 물었지만…… 너 괜찮은 거야!?"
094-039	네, 별문제는 없어요.⏎범죄 조직에 공범 취급을 받긴 했지만,⏎별다른 소문도 안 돌아서 다행이에요.
094-040	그나저나, 정말 아무것도 못 들었어요?⏎몇 년째 활개 치던 해커 집단이라, 꽤 큰 사건이었을 텐데요.
094-041	"어, 해커……!?⏎잠깐, 신호등 고장 난 거, 그놈들 짓이야!?"
094-042	뉴스 안 보세요……?
094-043	"싫어, 우울해지니까! 날씨 예보랑 RMI 예보만 확인하고 끝이야.⏎저기, 옆에 앉아도 돼? 같이 먹을래?"
094-044	그렇게 말하곤, 내 대답도 기다리지 않고 앉아 점심을 꺼낸다.
094-045	뭐, 상관은 없지만.
094-046	……
094-047	이상한 애다.
094-048	분위기는 다르지만, 그래도……,
094-049	……모르는 사람한테 무방비로 다가가는 느낌은, 정말 똑같다.
094-050	혹시…… 머릿속까지 닮은 건 아닐까.
094-051	"그래서 스토리는 컴퓨터 같은 거 잘해?⏎그러니까 경찰한테 찍힌 느낌이야?"
094-052	고개를 끄덕인다.
094-053	"와, 최악이네!"
094-054	다시 끄덕인다.
094-055	"그나저나, '이 나라에 온 뒤로'라고 아까 말했잖아?⏎그럼 너, 교환학생 중 한 명이라는 거야?"
094-056	한 번 더 끄덕인다.
094-057	"흠, 어디서 왔어?"
094-058	베리키아예요.
094-059	"베리키아구나!"
094-060	또 끄덕인다.
094-061	토코는 뿌듯한 듯 코를 문지른 뒤,⏎일부러 거만한 척하며 뜸을 들인다.
094-062	"나 있지, 놀라지 마…… 사실 올베르도 출신이야!"
094-063	아니, 설마.
094-064	네, 그 올베르도 말투도, 여기가 어디인지도⏎전혀 짐작이 안 갔죠.
094-065	"아하하─!"
094-066	귀여운 데가 있네.
094-067	인정한다.⏎확실히 흥미로운 사람이다.
094-068	그 마음을 들여다보면 분명⏎여러모로 재미난 게 보이겠지.
094-069	그럼, 바로.
094-070	그녀의 바인드에 집중해서───
094-071	나는 다이브한다.
094-072	지난주에 시내 신호등이 해킹당했고, 범인들은 며칠 뒤에 잡혔어요.
