# Korean translation source -- In Falsus
# Format: <id><TAB><korean>, with U+23CE for an in-text line break.
# The original Japanese lives in the game install; run
#   ifalsus.py extract-translations && tools/dump_jp.py <NNN>
# to read it alongside this file.
019-001	하아아아…….
019-002	……
019-003	뭐, 생각보다 나쁘진 않네.
019-004	지금은 학교 건물 앞에서, 카페테리아에서 사 온 점심을 먹고 있다.
019-005	그리고 하늘을 또 올려다본다…….
019-006	……
019-007	───학교란 건 진짜 시간 낭비다.
019-008	오늘 하루, 하나도 즐겁지 않았다.⏎건진 것도 없고.
019-009	……
019-010	그렇다고 혼자서 뭔가 의미 있는 일을 해 온 것도 아니다.⏎어차피 시간을 허비할 거라면……,
019-011	……아니, 남들 보기엔 그래도 여기서 낭비하는 쪽이 낫겠지.
019-012	내 기준으로는……기분은 최악이지만.
019-013	'AARC' 녀석들 중 누구든 같이 다닌다면⏎학교도 좀 다르게 느껴질까.
019-014	……글쎄.
019-015	학교란 건 미래를 만들어 가는 곳이라던데?
019-016	근데───여기서 그런 미래는 나한테 절대 안 와.
019-017	……
019-018	뭐, 학교도 식물 키우는 거랑 좀 비슷하긴 하려나.⏎키우고, 지켜보고, 기대하고……그런 거.
019-019	분명 교육이란 것도 그런 거겠지.
019-020	후……
019-021	……그 말 없는 녀석, 도와줘야겠다.⏎걔한테도 시간을 낭비할 방법을 고를 권리는 있잖아.
019-022	인생은 살라고 있는 거지, 뭐.
019-023	흥.
019-024	사 온 샌드위치를 다 먹고,⏎포장지는 구겨서 근처 쓰레기통에 던져 넣는다.
019-025	그렇게 건물 안으로 돌아간다───남은 수업을 마치러.
