# Korean translation source -- In Falsus
# Format: <id><TAB><korean>, with U+23CE for an in-text line break.
# The original Japanese lives in the game install; run
#   ifalsus.py extract-translations && tools/dump_jp.py <NNN>
# to read it alongside this file.
074-001	"후……"
074-002	"한숨이라니, 뭐 신경 쓰이는 거라도 있냐?"
074-003	이번 과제, 진척이 별로 안 좋네요.
074-004	"아니, 천천히 해도 되잖아. ……뭐 불만이라도 있냐?"
074-005	"으음……"
074-006	첫 과제 땐 여러분께 전혀 도움이 못 됐으니까요.⏎그만큼은 메꿔야죠.
074-007	"아─……"
074-008	"뭐, 하고 싶은 대로 해……"
074-009	……여기 있는 건 우리 둘뿐.⏎오늘 마무리로 둘이서 편의점에 들른 참입니다.
074-010	아야메는 볼일이 있고, 니아와 메이는 미리 약속이 있다고 했습니다.
074-011	그래서 우리 둘만⏎일일 미팅 후에 남겨진……그런 경위였습니다.
074-012	노린 건 아니지만요.⏎저한테는 실은 바라던 대로 된 상황이기도 합니다.
074-013	왜냐하면……,
074-014	생각하고 있었습니다. 행동을 시작하기 전에⏎그 애 친구를 만나기 위한 '커닝 페이퍼' 같은 게 필요하다고.
074-015	그렇다면 아이리스의 머릿속을 봐 두고 싶습니다.⏎경우에 따라서는 말 그대로 들여다볼 수 있다면 더 좋고요.
074-016	여기서는 단도직입적으로 물어야 할지……,⏎아니면 얼른 저 애 마음속에 잠겨야 할지……,⏎……고민한 지 벌써 몇 분이 지났습니다.
074-017	뭐……순순히 말해 줄 것 같지도 않네요.
074-018	……
074-019	그런데 아이리스는 어떤 사정으로?
074-020	"'사정'? 뭔 소리야?"
074-021	'AARC'에 당신이 뽑힌 이유는요?
074-022	"내가 어떻게 아냐고, 그딴 거."
074-023	유망한 학생을 대상으로 한다고 들었는데……,⏎당신은 그렇게까지 의욕이 있어 보이진 않아서요.
074-024	"성적 나쁜 학생한테 주는 징벌 패턴도 있거든.⏎협박당한 거야. 프로그램 참가 안 하면 퇴학이라고."
