# Korean translation source -- In Falsus
# Format: <id><TAB><korean>, with U+23CE for an in-text line break.
# The original Japanese lives in the game install; run
#   ifalsus.py extract-translations && tools/dump_jp.py <NNN>
# to read it alongside this file.
099-001	그러니까 정리하자면……
099-002	우선 'X'로부터 아이리스에게⏎'동생이 무사하길 바란다면, 당장 오라'고,⏎그렇게 말하는 듯한 협박 메시지가 왔다…….
099-003	놈들은 그녀에게도───아이리스의 여동생 릴리에게도, 편지를 보냈다.⏎아리아에 따르면, 릴리는 친구 집에서 돌아오는 길에 쪽지를 건네받고,⏎절대 버리지 말라고 몇 번이나 당부받았다고 한다.
099-004	협박이다───여동생 본인조차 바로 알아챌 만큼 노골적인 수법.
099-005	말로 꺼낸 협박은, 그만큼 진심이라는 뜻이다.⏎그래서 릴리도 그 말에 순순히 따랐던 거고……,⏎……아니, 아직 아홉 살이지? 말도 안 돼, 애를 협박하다니…….
099-006	……아직 무서운 기분이 가시지 않는다. 부모님 걱정도 조금 된다.
099-007	……그런데, 뭐랄까……조금 언짢은 기분도 든다.⏎딱히 부모님한테 뭔가 생겨도, 최악이라고는 못 하겠단 생각도 들어서.
099-008	……이렇게 느끼는 건, 방금 막 죽을 뻔해서라고 믿고 싶다.
099-009	프레이야 말에 따르면, 스토리 기숙사 주변에도 인영이 있는 듯하고,⏎니아 아빠도 집 밖에 사람이 있다고 했다.
099-010	'안전'하다고 할 만한 곳은, 감시가 철저한 학원뿐.⏎……VIP 학생들이 있다는 점도 한몫하는 것 같다.
099-011	우리 집은……들키진 않은 모양이지만,⏎감시당하는 마당에 돌아갈 수는 없으니까.
099-012	……
099-013	아이리스는 얼굴을 손에 묻고 있다.⏎손가락 사이로 보이는 표정은 여태 중 가장 굳은 얼굴이다…….
099-014	뭐, 여기 있는 모두에게 해당되는 얘기지만.
099-015	손가락 사이로 나를 보며, 떨리는 목소리로 아이리스가 말한다───.
099-016	"아───내가 던진 남자……총을 들고 있었어."
099-017	……그럼, 그 소리는 환청이 아니었다는 거네.⏎이런 건───
099-018	아니 진짜로, 어떻게 된 거야? 말도 안 되잖아.
099-019	이렇게 될 거라고 말한 건 나지만,⏎설마 실제로 그렇게 되리라고는…….
099-020	아니 대체 뭐가 어떻게 된 거야……!?
099-021	!?
099-022	얼굴 앞에서 손가락을 튕겨 소리를 낸다……프레이야?
099-023	"지금은 집중해라."
099-024	"될 수 있으면 짧게 말하지."
099-025	"이 과제에서 너희가⏎표적이 될 줄은 생각도 못 했다."
099-026	"너희를 노리는 무리───그 각오를 잘못 읽은 결과다. 이건───."
099-027	밥줄이 걸려서?⏎감옥을 피하려고?
099-028	"너희가 알 필요 없는 일 때문이다……"
099-029	……정말 그런지, 내가 직접 확인하고 싶긴 한데, 프레이야 씨.
099-030	"……"
099-031	"실제로 너희가 어떻게 움직이든 놈들은 흔들리지 않는다."
099-032	"상관없다. 너희를 잡든,⏎도망쳐서 조직의 실태를 폭로하든……."
099-033	"놈들에겐 어느 쪽이든 좋기 때문이다."
099-034	"그게 무슨……?"
099-035	"너희 다섯은 이제, 마음대로 부려먹을 수 있는 놈들일 뿐이라는 거다.⏎비열한 무리가 실을 당기며, 너희를 조종하려 하고 있다.⏎그러니 미안하지만……."
099-036	"너희를 구하려면, 내가 나서야 하게 됐다."
099-037	……
099-038	"스토리, 너는 나랑 같이 가라."
099-039	"니아, 너는 아야메의 옛 학교로 둘이서 몸을 피한다."
099-040	"아이리스, 너희 가족은 우선 내가 안전한 곳으로 옮겨 주겠다."
099-041	"……"
099-042	"그리고 아이리스, 그리고 메이에 대해서는……⏎미안하지만, 아직 가장 좋은 방법을 찾고 있다."
099-043	"그리고…… 누구도 여기에 오래 머물지 마라.⏎만약 놈들이 여기까지 쫓아온다면, 너희는 꽤 난처해진다."
099-044	"메이는 내가 어떻게든 할게……"
099-045	!?
099-046	"어떻게든이라고?"
099-047	"거리에서 밤을 새운 적쯤은 있어.⏎장난으로 했던 거지만……어떻게 하는 건지는 알아."
099-048	"특히 몸을 감추는 법은 말이지……"
099-049	"날이 밝을 때까지, 메이는 내가 데리고 움직인다."
099-050	"그런가……메이 너도 그걸로 괜찮겠나?"
099-051	나……? 나……는……딱히 괜찮겠지?
099-052	"좋다. 그럼, 흩어져라."
099-053	"나도 내일, 다시 다 같이 모일 수 있도록 노력해 보겠다."
099-054	"그리고……적에게 너희가 어떻게 움직이든 상관없다고는 해도……"
099-055	"당연히 자신이 할 수 있는 최선을 노려라."
099-056	"너희가 전부 사회에서 사라진다면……,⏎놈들의 계획은 피를 얻은 괴물처럼 진행될 거다."
099-057	"즉 너희가 전부 사회에서 사라지는 게, 놈들에게 가장 좋다는 거다."
099-058	"……"
099-059	"하게 두지 마라."
099-060	그러고는 프레이야가 스토리에게 고개를 끄덕이고……둘이서 방을 나갔다.⏎니아와 아야메도 이어서 떠났다. 나는 그냥 아이리스를 본다.
099-061	……몇 초쯤 지나, 우리도 그 자리를 떠났다.
