# Korean translation source -- In Falsus
# Format: <id><TAB><korean>, with U+23CE for an in-text line break.
# The original Japanese lives in the game install; run
#   ifalsus.py extract-translations && tools/dump_jp.py <NNN>
# to read it alongside this file.
201-001	……자.
201-002	돌아왔다.
201-003	"정말 내 힘이 필요한 거야? 왜?"
201-004	"알잖아. 전에 세이코와 인연이 있었으니까"
201-005	그리고 대략의 사정도 말해 줬고……,
201-006	여러모로……스토리 건이 진정된 뒤,⏎나는 친구들 모두에게, 말하기 망설였던 걸 털어놨다.
201-007	……분수를 모르는, 펠의 과대망상에 대해서도.⏎어쩌면 그건……망상이 아닐지도 모르지만.
201-008	왜냐면, 정말로 가능할지도 모르니까.⏎……영혼과 육체의 분리……끝나지 않는 꿈에서 계속 살아,⏎존재하고 계속되는……그런 재주가 말이야.
201-009	하지만 'AARC'에선 나 외에 할 수 있다고 생각하는 녀석은 없었다.
201-010	"……내가 세이코에 간 적 있는 거, 알고 있었어?"
201-011	"……?"
201-012	"몇 년 전, 사이언스 페어에서 입상해서 왔잖아.⏎여러 사람과 악수하고 말이야.⏎서로 얼굴을 기억하는 녀석 정도는, 있을 거 아냐"
201-013	"미술학원과 과학의 관련성은, 좀 의문이지만……"
201-014	"나는 우리 'AARC' 녀석들이 좋아.⏎그런데 가끔, 너무 얌전하다고 할까,⏎흥을 못 깨는 데가 있어서. 기분 나쁜 건 아니지만"
201-015	"게다가 그 츠루라는 녀석에게 폐 끼치는 것도 나쁘잖아"
201-016	"……그, 그렇구나……"
201-017	그래서 실제로 현장에 발을 들여, 극비 미션이라는 거다.⏎그래서 지금까지……,
201-018	이 세이코를 둘러싼 상황은……묘한 채로다.
201-019	우리에게 여긴 미개지, 수비 범위 밖이다. 정체를 알 수 없어.⏎과제에 관련된 선거 운동을 방해하는 녀석도, 어떻게든 막긴 했지만……,
201-020	아무래도 이 캠퍼스 안에 소문이 퍼지고 있는 모양…….⏎정말로, 소문이라는 건 성가시다.
201-021	소문이 쉽게 퍼지는 건, 사실 확인이 즉시 안 되기 때문이다.⏎대부분의 경우, 약간의 진실이 포함돼 있어서, 부정하기도 어렵다.
201-022	예를 들어……'츠루는 예전에 파괴 행위를 했다'라든가,⏎'곡 표절'이라든가, '츠루의 선생님 중에 살인자가 있다'라든가…….
201-023	……얼마 전 츠루가 왔을 때 들은 내용으로 보면, 적어도,⏎지금 든 세 번째 소문에 츠루의 담당자가 해당할 가능성은 제로가 아니다.⏎게다가 츠루는, 그래피티 위주 아티스트고…….
201-024	문득 스마트폰을 본다.
201-025	예의 그거……'이욱스타 소키에타템'.⏎내가 읽기엔, 프레이야의 실종과 관계가 있을 거다.⏎오히려 바로 그 녀석의 소속일지도 모른다.
201-026	다만……츠루에게 들은 것 이상으로 안 게, 아무것도 없다.⏎'AARC' 동료와 츠루와 똑같이, 단서를 찾아도,⏎곧바로 막다른 골목에 부딪힌다.
