# Korean translation source -- In Falsus
# Format: <id><TAB><korean>, with U+23CE for an in-text line break.
# The original Japanese lives in the game install; run
#   ifalsus.py extract-translations && tools/dump_jp.py <NNN>
# to read it alongside this file.
152-001	……자───.
152-002	내 역할은 도청 장치 설치.⏎지금은, 니아와 둘이서 아이리스의 신호를 기다리는 중이다.⏎(본인은 남자 둘을 설비 구역으로 끌고 간 채, 안 돌아온다)
152-003	어쨌든 묘한 모습이었지───,
152-004	아이리스가 한쪽 녀석의 손가락을 붙잡았을 때,⏎다른 한 명은 금방이라도 덤벼들려 하고 있었다───.⏎바인드 상태도, 오렌지 2단계에까지 들어가 있었고.
152-005	그게 갑자기…… 초록 3단계로 바뀌었다.⏎저건, 마치───,
152-006	……그런데…….
152-007	아무리 그래도 단순한 우연, 이겠지?
152-008	"……"
152-009	"……아"
152-010	아이리스가 설비 구역 문에서,⏎복도로 손을 내밀어, 브이 사인을 해 보인다.
152-011	좋아, 괜히 바인드 같은 걸 신경 쓸 때가 아니야. 가자.
152-012	"……우와"
152-013	남자 둘이 바닥에 뒹굴고 있었다. 재갈이 물려진 채로 결박당해 있다.
152-014	이 짧은 시간에 잘도 하네…….
152-015	그러니까 시간은, 앞으로 20분?…… 아니야. 15분 정도밖에 없어.
152-016	"다음은 네 차례다. 나는 좀 있다 빠질 거야.⏎추가로 덩치들이 나서기 전에……"
152-017	"아야메 말로는, 이 멍청이 둘은 회의 전에 철수할 예정이라던데.⏎간부의 정체를 모르게 하려고."
152-018	"일단───니아, 이 둘 숨기는 걸 도와줘.⏎메이는 얼른 가!"
152-019	어딘가 이 근처에 미팅 룸이 있을 거다.⏎관리인용……,
152-020	그걸 찾아서, 스토리 씨 지시에 따라 마이크를 설치한다…….
152-021	기기에 연결할 수 있는 타입이다.⏎스토리 씨 노트북과도 사전에 페어링해 뒀고, 잘 될 거야…….
152-022	……있었다! 여기다, 504호실!
152-023	문 가까이 다가가서, 귀를 갖다 댄다.
152-024	……기척은 별로 없다.
152-025	……좋아, 들어가자. 스토리 씨에게 커넥트로 이모티콘을 보낸다.
152-026	조심스럽게 문을 열고, 안으로 미끄러져 들어간다.
152-027	……우와! 깜깜하잖아!
152-028	폰 화면, 어둡게 해야……,
152-029	실내 조명 스위치는 문 밖에 있지만,⏎누르지 마세요. 카메라가 없어도,⏎다른 방식으로 감시당하고 있을지도 모르니까.
152-030	알겠어…….
152-031	손에 방 배치도가 있습니다.⏎이쪽 지시에 따라 주세요.
152-032	언제든 좋아…….
152-033	경로는 간단합니다. 가구가 있을지도 모르지만,⏎벽에 부딪힐 때까지, 똑바로 나아가세요.
152-034	시키는 대로, 처음엔 조심스럽게…….⏎그런데 시간이 없다는 걸 떠올리고, 발을 빨리 내디디다가,⏎코끝을 벽에 부딪혔다. 젠장.
152-035	벽까지 오면, 왼쪽으로 옆걸음질해서,⏎방 구석까지 가세요.
152-036	알겠어…… 옆걸음질이네…….
152-037	기기 전원을 켜고, 손을 위로 뻗어 주세요.⏎발끝으로 서야 닿을지도 몰라요.
152-038	……폰 라이트 정도는, 써도 되지?
152-039	라이트를 켰다.
152-040	더듬어서 격자를 찾아 주세요,⏎환기용 덕트가 있을 거예요.⏎그 틈새로, 기기가 들어갈 거예요.
152-041	아아, 이거구나.
152-042	격자 뒤에 숨듯이 놓아 주세요.⏎더듬어서 할 수 있을 거예요.⏎그리고 반드시 스피커 면이 위로 가게.
152-043	좋아, 좋아, 좋아, 좋아…….
152-044	이렇게…… 이렇게 하면 되나. 됐다.
152-045	남은 시간은 이제, 5분 정도밖에……,
152-046	메이가 움직이는 소리까지 들립니다만,⏎제대로 테스트는 해 둡시다.⏎실내 다른 위치로 이동해서, 말해 보세요.
152-047	"테스트…… 테스트…… 테스트!⏎……테스트, 테스트(작은 소리로), 테스트, 테스트(작은 소리로)"
152-048	소리 같은 것도 좀 내 볼래요?
152-049	OK, 잘 들립니다.
152-050	그러지 않으면 곤란하다고…….
152-051	얼른 나오세요! 점심시간은 벌써 끝났어요!
152-052	아아 그렇습니까!
152-053	"메이!"
152-054	라이트를 끄는 것과 거의 동시에, 니아가 문을 열었다.
152-055	"끝났어! 가자!"
152-056	서둘러 방을 나와, 둘이서 달리기 시작한다.
152-057	"너희들 말이지……"
152-058	"어라, 그렇게 뛰어서 어쩐 일인가?"
152-059	윽! 젠, 젠장, 하필이면 이 녀석들.⏎……이대로 지나칠까? 어떻게 할까?
152-060	니아를 곁눈질로 본다.
152-061	안 돼…… 얼어붙어 있어.
152-062	"뭐 하는 놀이인가?"
152-063	"예비령이 곧 울리는데?"
152-064	"오늘은 학술 교류잖아! 신나게 놀기 딱 좋잖아."
152-065	"그건 이유가 안 되는데."
152-066	"아니야 아니야, 충분해.⏎그렇지? 너희는 그냥 노는 거지?"
152-067	큭……! 이건 함정 질문이야.⏎니아, 정말 거짓말을 할 수 있다면 지금 당장 해 줘……!
152-068	뭐라고 말하면……? 아!
152-069	"조용한 곳에 가고 싶었는데, 시간이 없어서요"
152-070	"긴장하고 있나? 왜?"
152-071	"선생님들이 놀라서……"
152-072	"같은 학교 선생님 만난 걸로 뭐가 그렇게 놀라워?"
152-073	……안 돼!
152-074	그건 대답할 수 없어……!
152-075	당했다…….
152-076	놀라지 않았다고 하면 거짓말이 되고,⏎놀랐다고 하면 이유를 캐묻는다.
152-077	"있잖니……"
152-078	"……너희들, 학술 교류 중에는 눈을 번뜩이겠다고 했지…….⏎잊지 않았지?"
152-079	……끝났다. 어떻게 하지?
152-080	이대로 우두커니 서 있으면, 더욱 수상해진다───.⏎입을 다물 수는 없다.
152-081	……
152-082	아…… 말도 안 되는 생각이지만……,
152-083	만약, 저게 현실이었다면……?
152-084	내가, 사람의 생각이나 느낌을 바꿀 수 있다면……?
152-085	그래, 저 묘한 장소를 통해서……
152-086	저건 상상이 아닐지도…… 방금 그 아이리스도…….
152-087	……
152-088	생각할 시간은 없다. 달리 방법도 없어.
152-089	키츠가…… 수상하다는 증거는 찾아냈어. 그런데……
152-090	사냥개처럼 끈질긴 건 하우스 쪽이다. 딱히 겁줄 필요는 없어.
152-091	하지만 그녀의 생각은 바꿔야 해.
152-092	저 다른 장소라면……
152-093	이제 할 수밖에 없어.
