# Korean translation source -- In Falsus
# Format: <id><TAB><korean>, with U+23CE for an in-text line break.
# The original Japanese lives in the game install; run
#   ifalsus.py extract-translations && tools/dump_jp.py <NNN>
# to read it alongside this file.
087-001	……집으로 돌아가던 길에서였다.
087-002	……?
087-003	전화?
087-004	누구한테서 온 거지……
087-005	……
087-006	걔한테……? 무슨 일 있나?
087-007	전화를 받는다.
087-008	"무슨 일이야?"
087-009	"집에 잘 들어갔어?"
087-010	"……"
087-011	"뭐야, 엄마인 척할 셈이야?"
087-012	"아니, 계속 생각했어. 어떻게 하면 메이가⏎우리를 신뢰해 줄까, 하고. 근데 아무리 생각해도 모르겠더라."
087-013	"아이리스가 그러더라. 그 해커를 잡은 방법에 대해선⏎네가 말하기 싫어할 거라고───적어도 전화로는."
087-014	흠……
087-015	"뭐, 그건 딱히 신뢰 문제는 아니라고 생각하는데.⏎혹시 전화로 얘기하면 위험한 걸까? ……그런 것까지,⏎계속 생각하다 보니 자꾸 신경이 쓰여서."
087-016	"내 일은 신경 쓰지 마. 걱정할 것도 없어, 난 됐으니까."
087-017	"더 말하자면, 내가 스스로 말한 것 이상은⏎알려고 하지 않아도 돼───이건 진심이니까."
087-018	"우린 친구가 아니야. 애초에 만난 지 한 일주일 조금 넘었잖아.⏎'AARC'에 참가한 것도 스스로 원해서 한 게 아니었어.⏎……특히 나는 강제로 참가했고."
087-019	"확실히 앞으로도 평일엔 매일 얘기하게 되긴 하지.⏎그렇다고 내 사생활에 끼어들 권리 같은 건 없으니까."
087-020	"……"
087-021	"끼어들 권리가 있다고 생각 안 해. 얘기해 줬으면 하는 것뿐이야.⏎네 마음을 얻으려는 것도 아니고, 널 알고 싶을 뿐이야."
087-022	"알고 싶은 건 어떻게 하면 내 신뢰를 얻을까, 그거 아니었어?"
087-023	"신뢰는 지금 당장은 아니야.───분명 나중 목표, 미래 얘기지."
087-024	"딱히 널 곤란하게 하려는 건 아니니까."
087-025	근데 지금 진짜 곤란하거든?
087-026	"그러니까 내가 하고 싶은 말은……"
087-027	"우릴 신뢰하고 싶은지 아닌지, 그런 게 아니야.⏎네가 필요할 때───힘이 되어 줄 사람이고 싶다는 거야."
087-028	……음?
087-029	"그럴 거면 나를 '이용한다'고 생각해도 괜찮아. 난 상관없어.⏎……눈앞에 힘들어하는 사람이 있는데 아무것도 못 하는 건 싫으니까."
087-030	"뭐, 자기 만족 삼아 남 돕는 거, 그런 거지!"
087-031	"그거 모순이잖아."
087-032	"그럴지도!"
087-033	"그래도 진심이야.⏎나는 다 같이 편하게 지내고 싶을 뿐이야───간단하잖아!"
087-034	"어쩌면 가는 길에 네 신뢰도 덤으로 얻을지도…… 뭐, 그런 거지!"
087-035	"그럼 내일 또 보자. 잘 자, 메이."
087-036	"…………잘 자."
087-037	상대가 먼저 끊어서 나도 끊는다.
087-038	"……"
087-039	"……귀찮아."
087-040	그렇게 중얼거리면서 나는……
087-041	집에 돌아와 곧바로 잠자리에 들 준비를 했다…….
