# Korean translation source -- In Falsus
# Format: <id><TAB><korean>, with U+23CE for an in-text line break.
# The original Japanese lives in the game install; run
#   ifalsus.py extract-translations && tools/dump_jp.py <NNN>
# to read it alongside this file.
105-001	……좋아!
105-002	좋아 좋아 좋아! 조사는 일단 휴업!
105-003	무거운 얘기도 없어!
105-004	그래, 왜냐면…….
105-005	왜냐면, 오늘은……,
105-006	……계속, 기다려 온 날이니까!
105-007	"……너, 엄청 신났네."
105-008	"그래서 오늘 뭐 하고 싶은 느낌이야?"
105-009	"영화 같은 거 어때? 기대하고 있던 게 한 편……아니, 많이 있어서.⏎한 편은 본다 치고, 또 한 편이 있고, 그다음도, 그다음 것도───"
105-010	"저, 저는 뭐든 오케이예요……!"
105-011	개인적으로는 쇼핑하러 가고 싶네요…….
105-012	……!
105-013	스토리!
105-014	그녀에게 한 발 다가가, 그 어깨를 확 붙잡았다.
105-015	"……"
105-016	"바로 그거야! 오늘 다 같이 해야 할 건───.⏎아 정말! 자백할게!"
105-017	"가고 싶었단 말이야, 엄청! 진심으로! 정말로!"
105-018	"……가고 싶다고───"
105-019	"쇼핑이야! 영화도 보고 싶어! 근데 무엇보다 하고 싶은 건,⏎다들 옷 코디! 계속 하고 싶었단 말이야!"
105-020	"……흐음."
105-021	"오, 좋잖아───나쁘지 않은 아이디어야."
105-022	"특히 스토리는 옷 입히는 보람이 있겠어."
105-023	"그치!"
105-024	"……!?"
105-025	"자, 가자!"
105-026	다 같이 의류 매장이 모인 플라자 한구석으로 향한다…….
105-027	……좋아 좋아 좋아 좋아! 진짜로 기다려 왔단 말이야, 이날을!
105-028	걸으면서, 아이리스가 메이 옆에 나란히 서서, 어깨에 팔을 두른다.⏎보고 싶은 영화에 대해 묻는 모양이다.
105-029	스토리와 니아도 '수다'를 떨기 시작하고,⏎니아는 중얼거리듯이, 이런 나들이는 좀처럼 안 해서⏎긴장된다, 라고 말하고 있다.
105-030	한편 나는 학교 친구에게 메시지를 보낸 참이다. 한마디만.
105-031	'성공!'
105-032	"우선 미터즈부터 가자. 메이라면 미터즈지."
105-033	"응응. 펑크한 느낌의 거, 찾아보자."
105-034	메이가 어깨 너머로 우리를 노려보지만,⏎달려온 니아와 스토리의 옷 관련 질문 공세에 흐지부지된다.
105-035	메이는 옷 센스가 좋지만……,⏎교복이 아닐 땐, 대개 그 커다란 재킷을 걸치고 있지.⏎남자 옷인가 저거? 아버지 물려받은 거라든가……?
105-036	그냥 감이지만……뭐, 오늘의 목표는 '평소와 다른 것'이고…….⏎실제로 살지 어떨지는 어느 쪽이든 좋아!
105-037	그리고 '귀여워지는 것'도 목표지…….
105-038	좋──아!
105-039	"……이거 전부? 좀 과하지 않아?"
105-040	"됐으니까, 얼른 나와!"
105-041	"소매가……엄청 귀여운 거였죠……기대돼요."
105-042	스트랩도 좋네요.
105-043	……
105-044	"……"
105-045	"어, 어때, 이거?"
105-046	"멋져요!"
105-047	훌륭해요.
105-048	"좋잖아, 더 과시해 봐!!"
105-049	"에에……!?"
105-050	"그래그래, 모델처럼! 걸어서 보여 줘!"
105-051	"……"
105-052	얼굴이 새빨개진 메이가 ⏎여러 가지 퉁명스러운 포즈로 옷을 선보여 준다.
105-053	……완벽해. 게다가 하루는 이제 시작됐을 뿐.
105-054	"오케이! 그럼 다음은 스토리와 니아야!"
105-055	"으, 으앗……!"
105-056	"근데 먼저 다른 가게 가자."
105-057	"물론이지!"
105-058	"저, 저기……!"
105-059	"……"
105-060	자───,
105-061	신나게 달려 보자─!
105-062	"……"
105-063	저, 엄청 귀엽지 않아요?
105-064	"헤헷……! 내 센스를 음미해 봐!"
105-065	"귀, 귀여워요……!"
105-066	……역시나 아이리스의 센스는 남의 코디에도 잘 살아난다.
105-067	자, 이번엔 내 차례네.
105-068	니아에게, 최고로 귀여운 걸 입혀 줄 거야……!
105-069	……라고, 생각했는데…….
105-070	"안 돼요!"
105-071	……아 정말 이 애, 속 터져!
105-072	"하아!?"
105-073	"이건 너무 귀여워요!"
105-074	"정말 어떻게 된 거야!?"
105-075	어쩔 수 없이 다른 옷을 골라도……,
105-076	"이런 건 못 입어요!"
105-077	"왜야!?"
105-078	"안 어울린다니까요……"
105-079	"사이즈는 맞잖아……"
105-080	"그런 뜻이! 아니에요!"
105-081	다음…….
105-082	"제 머리로는 좀 너무 짧지 않아요……?"
105-083	다음─!
105-084	"에에……저 이런 거 입을 만큼 귀엽지 않아요……!"
105-085	아아─ 정말! 목덜미 잡고 마구 흔들어 버릴까!
105-086	이윽고 니아를 뺀 네 명이 뜨거운 논의를 시작한다…….⏎귀여울 뿐 아니라, 니아가 바로 반려하지 않을 코디를 짜 내는 거다.
105-087	뭐, 정리하면……,
105-088	도달한 결론은 이거다.⏎───그럼, 쿨한 룩이면?⏎있잖아 니아는 멋있는 걸 좋아하니까.
105-089	……그렇게까지 해서 겨우, 입어 보는 거였다.
105-090	"이거……저한테는 좀 너무 멋있지 않아요?"
105-091	"전혀!"
105-092	"엄청 잘 어울려!"
105-093	"사 버려!"
105-094	"좋잖아."
105-095	"정말요……"
105-096	"……"
105-097	"그, 그럼 사 둬서……다음에 입어 볼까……"
105-098	됐다! 마음이 생겼어!
105-099	마음이 변하기 전에 계산대로 얼른 끌고 가는 거야……!
