# Korean translation source -- In Falsus
# Format: <id><TAB><korean>, with U+23CE for an in-text line break.
# The original Japanese lives in the game install; run
#   ifalsus.py extract-translations && tools/dump_jp.py <NNN>
# to read it alongside this file.
140-001	"……"
140-002	폰 화면만 계속 들여다보고 있다.
140-003	수업이 끝나고, 교실에서 다들 삼삼오오 흩어져 돌아갈 때까지……,
140-004	그러다 방과 후가 되고, 밴드부 연주 소리나⏎멀리서 연습하는 운동부 애들 목소리 정도만 들려올 때까지…….
140-005	그렇게 혼자가 될 때까지,⏎읽지도 않은 스토리 씨에게 보낸 메시지를 자꾸 다시 읽고 있었다.
140-006	키츠 선생님은 아직 학교에 있는 걸까……?⏎아, 진짜…….
140-007	나는 정말 쓸모없어……,
140-008	키츠 선생님은 아까 나갔고,⏎스토리 씨가 어디 있는지도 모르겠다…….
140-009	일부러 학교까지 와서, 모든 걸 망칠 위험을 무릅쓰고,⏎그런데 정작 아무것도 못 하고 있다.⏎아, 최악이야…….
140-010	!?
140-011	스, 스토리 씨다……!
140-012	사물함을 확인하고, 그다음 옥상으로 가 주세요.
140-013	부탁할게요. 그럼 이따 봐요.
140-014	스토리 씨……!⏎정말…… 나보다 훨씬 침착해……!⏎고마워요…… 뭘 해 준 건지 모르겠지만!
140-015	바로 폰을 잠그고, 자리에서 일어난다.
140-016	좋아, 가자…… 간다…… 가고 말 거야!
140-017	……!
140-018	"오, 니아구나.⏎교실을 확인하러 왔는데, 아직 있었구나?"
140-019	"……조금, 생각이 많아져서요."
140-020	"……괜찮아. 알기 쉬운 답 같은 건 없어.⏎누구나 불안해지기 마련이지, 우리도 마찬가지고."
140-021	……?
140-022	무슨 얘기지?
140-023	"조심해서 들어가렴!⏎나 열쇠 좀 찾고 있었는데, 아무래도 안 보이네."
140-024	"그…… 그러시군요……"
140-025	"그럼 먼저 가 보겠습니다……"
140-026	열쇠를 잃어버렸다고……? 그거라면───,
140-027	맞아…… 분명……,⏎스토리 씨가 소매치기한 게 바로 그 열쇠인 거다.
140-028	스, 스토리 씨는 어떻게 소매치기 같은 걸 할 수 있지……?⏎그러고 보니 전에는 칼도 가지고 있었고, 해커이기도 하고…….
140-029	으음……,
140-030	지금 생각할 일은 아니지.
140-031	그래도 기회야! 키츠 선생님은 아직 학교에 있을 거야.⏎대결에 쓸 폰 카메라를 준비할 시간은 있을 것 같아……!
140-032	선생님을 직접 따져 묻고…… 진실을 말하는 장면을 찍을 거야!
140-033	기다리는 건 이제 끝이야……,
140-034	일단 사물함에 들러야 해!
