# Korean translation source -- In Falsus
# Format: <id><TAB><korean>, with U+23CE for an in-text line break.
# The original Japanese lives in the game install; run
#   ifalsus.py extract-translations && tools/dump_jp.py <NNN>
# to read it alongside this file.
187-001	"……너, 다이브한───?"
187-002	갑자기, 무릎부터 무너지는 레인.⏎메이가 몸서리치고, 머리를 감쌌다.
187-003	"메이……! ……레, 레인!?"
187-004	레인에게 달려가, 셔츠를 붙잡아 끌어당겼다.
187-005	"……방금 메이를 조종하려 한 거예요? 우리 눈앞에서!?"
187-006	"당신…… 그런 짓을 하는 사람이었단 말이에요……!"
187-007	"……"
187-008	"애초에 너는…… 대단한 것도 모르고 있잖아……"
187-009	"그저, 무작정 돌진할 뿐이고, 말이지"
187-010	둘러보니, 메이는 눈을 감고 있어.⏎스토리 씨는 둘러보고…… 펠을 찾고 있어? 적확해…….
187-011	"……메이, 괜찮아요?"
187-012	"……괜찮은, 것 같아.⏎레인의 분노를 어느 정도 대신 받아냈어…… 그 영향이네"
187-013	메이는 눈을 가늘게 뜨고, 내가 붙잡고 있는 레인을 봤다.
187-014	"진짜로 끝이 없었지만……"
187-015	"……"
187-016	"……나도 알아.⏎죽은 친구라니…… 동기로서 강렬하고"
187-017	"추측인데…… 레인은 그 애들에게 약속을 한 거야……?⏎아니면…… 다시 만나고 싶은 걸까, 그 애들을……"
187-018	……
187-019	"레인, 여기에 펠이 있어요?"
187-020	"……있어"
187-021	"여기서 곧장, 숲속으로.⏎그 안쪽에, 낡은 목조 가옥이 있어"
187-022	"어릴 때…… 다 같이, 자주 놀던 곳이야"
187-023	"그런 걸, 가르쳐 주는 거예요?"
187-024	"알려 주고 싶지 않아…… 하지만 그럴 수가 없어서"
187-025	메이가 레인의 감정을 바꿔 놨으니까……?
187-026	으음……
187-027	헬비 씨 말이 맞다면……
187-028	"이게…… 끝나고……"
187-029	사고가 레인의 말에 멈춘다. 그대로, 눈을 응시했다.
187-030	"……만약 이게 우리에게 최악의 결과로 끝난다면,⏎나는 평생 너희를 원망할 거라고 생각해"
187-031	……
187-032	"……나도 예전엔 아무 희망도 가질 수 없었어요"
187-033	레인을 놓아줬다.
187-034	"당신은 혼자가 아니에요. 다시 일어설 수 있어요"
187-035	메이의 손을 잡으며 모두에게 고개를 끄덕였다.
