# Korean translation source -- In Falsus
# Format: <id><TAB><korean>, with U+23CE for an in-text line break.
# The original Japanese lives in the game install; run
#   ifalsus.py extract-translations && tools/dump_jp.py <NNN>
# to read it alongside this file.
041-001	정보를 다 모은 다음……
041-002	나는 화장실 칸에서 목소리를 낮추고, 혼자 거짓말을 해 봤다.
041-003	"저는 열여덟 살입니다."
041-004	"저는……열세 살입니다! 에에? 왜 안 되는 거야……?"
041-005	열 번 거짓말 중 바인드에 걸리지 않은 건 딱 두 번뿐.
041-006	"저는 열 개 국어를 할 수 있습니다……열 개요, 네."
041-007	잘 될 때랑 안 될 때가 뭐가 다른지 모르겠다…….
041-008	그래서 지금은 특별하지만 발동이 제멋대로인 특수 능력, 그런 거야.⏎믿어도 되는 건지도 모르겠고.
041-009	근데 형사님 머릿속에 들어갔을 때 그 이상한 거……
041-010	……그게 뭐였는지, 전혀 감이 안 온다.⏎혼자서는 시험해 볼 수도 없고…….
041-011	지금도 무슨 일이 있었는지 전혀 정리가 안 된다.⏎아까 일이 머릿속에서 계속 맴돈다.
041-012	이렇게 메이한테 사건을 알려 줘도,⏎그 세계 일이 자꾸 마음 한구석에 남아서…….⏎그 바람에 두 번이나 말하게 됐다.
041-013	그래도 괜찮아……괜찮아.⏎그냥 생각 정리할 시간이 조금 필요할 뿐이야.
041-014	잠시 후 대화가 끝나자, 메이 씨가 뭔가 생각하기 시작했다.
041-015	바인드 표시색은 초록색…….
041-016	……
041-017	……문득 생각났다.
041-018	지난번 일은 우연이었지만……⏎혹시 한번 해 보면……또 될까?
041-019	메이 씨 마음속에 들어갈 수 있을까?
041-020	……항상 껍질 속에 숨어 있는 사람이니까……
041-021	혹시 마음을 살펴서 뭔가를 움직일 수 있다면……,⏎도와줄 수 있지 않을까?
041-022	왠지……항상 슬픈 표정이니까.
041-023	나랑 비슷해……항상 목줄이 빨간 그 애와 달리,⏎내 목줄은 파란색이지만…….
041-024	으음…….
041-025	……형사님 마음속에 있는 동안 시간이 더 느리게 흐르는 것 같았다.
041-026	그렇다면……지금 메이 씨한테 같은 걸 해도 눈치채지 못할지도?
041-027	……뭐, 그보다 솔직히 말하면.
041-028	그냥 내가 해 보고 싶은 거야.
041-029	근데 가만히 눈을 빤히 보면서 집중하는 건 무리야.⏎아무래도 좀 수상하니까.
041-030	……그럼, 바인드라면?
041-031	어쩌면 바인드와 관계가 있을지도……으음.
041-032	좋아.
041-033	눈을 가늘게 뜨고, 메이 씨 목에 있는 바인드에 집중한다.
041-034	집중……집중…….
041-035	……!
041-036	또……여기……!⏎그럼 나……지금, 해내고 있는 거야?
041-037	근데 여긴……아직 그 다른 장소가 아니야.⏎이게 뭔지는 모르겠지만, 메이 씨와도 형사님과도 다르다.⏎그냥 새까맣고 텅 비어 있다.
041-038	근데 여기, 진짜 있는 곳인 거지?⏎그렇다면……대체 뭘까? 상상도 안 간다.
041-039	주변을 더 둘러보자……
041-040	주변에 보이는 에너지……간헐천 같은 게 여기저기 있다.⏎뿜어져 나왔다가 사라지곤 해. 많지는 않지만…….
041-041	그러고 보니 나, 이번엔 '땅'에 서 있네……⏎지난번엔 날고 있었는데…….
041-042	뭐, 됐다……어차피 어떻게 나는지도 모르고.⏎마음먹는다고 되는 것도 아니고.
041-043	그렇게 나는 반짝반짝 빛나는 언덕을 걸었다.
041-044	아까 그 빛나는……간헐천이 근처에서 터져 나오면 좋겠는데……,⏎전에 안으로 들어갈 수 있었던 것도 그 간헐천 덕분이었거든.
041-045	이렇게 걸어 보니 알겠다.⏎여긴 참 조용하구나.
041-046	형사님 마음속에 있을 땐 목소리랑 기억이 계속 떠올랐다.
041-047	그런데 왜 이 어둠 속에선 거의 소리가 안 들리는 걸까……?
041-048	우와───!
041-049	……저기다. 뭔가 터져 나오고 있어.
041-050	특정 간헐천으로만 메이 씨 마음에 들어갈 수 있는 건……⏎아니었으면 좋겠는데…….
041-051	나는……한 발 내딛고, 색이 소용돌이치는 속으로.⏎몸이 뒤집히고───그리고 나는 다이브한다.
041-052	하늘로 튕겨 나가, 다시 허공에 떠오른다.⏎아, 맞아, 전에도 이런 느낌이었어…….
041-053	앗───벌써 풍경이 변하고 있어───.
041-054	초록과 파랑으로 하늘이 물들고, 구름이 퍼진다.
041-055	근데……그 외엔 별로 볼 게 없어 보여.⏎아……여기인가 봐.
041-056	확실히 그 애 같은 분위기가 느껴진다. 그럼……이게 메이 씨인 걸까?
041-057	근데 왜 아무것도 안 들리고 안 보이는 걸까?
041-058	완전히 마음을 닫아 버린 건가?
041-059	……
041-060	허공을 떠다니며 앞으로 간다.
041-061	이곳은……아무래도 마음대로 움직일 수 없는 것 같았다.
041-062	예를 들어, 사물은 느낌으로만 알 수 있고,⏎뭔가 일으키고 싶으면 '일어나'라고 마음속으로 빌어야 해.
041-063	제대로 만질 수 없는 곳, 그런 느낌이야.⏎현실처럼 느껴지는데도.
041-064	게다가 빛의 간헐천을 찾았을 때도……⏎내가 뭘 생각하고 느끼는 건지 모르겠어.
041-065	……지금은 일단 눈을 감자.⏎그래, 전에 느꼈던 그 감각을 떠올리는 거야…….
041-066	그래, 모든 것에 울려 퍼지는 '심장' 소리를 듣는 거야…….
041-067	천천히…….
041-068	그래, 천천히…….
041-069	……네가 들려. 희미하지만 들리니까.
041-070	내가 안쪽으로 들어가는 데는 이것만으로도 충분하니까.
041-071	그렇게 나는 메이…… 그 영혼이 남긴 흔적을 따라간다…….
041-072	나, 갈게. 더 가까이 갈 테니까.⏎……조금이라도 그 영혼을 밝혀 줄 수 있으면 좋겠다.
