# Korean translation source -- In Falsus
# Format: <id><TAB><korean>, with U+23CE for an in-text line break.
# The original Japanese lives in the game install; run
#   ifalsus.py extract-translations && tools/dump_jp.py <NNN>
# to read it alongside this file.
081-001	"이걸로 끝……후."
081-002	응, 잘 나왔다.⏎헤드폰을 벗고 한 번 더 메타데이터를 재확인한다.⏎이상한 부분도, 신원이 드러날 요소도 안 보인다. 좋아.
081-003	익스포트도 했고 이걸로 완성. ……이제 제출만 하면 된다.⏎이 느낌이면 아마 리테이크도 없을 거야. 간단한 프로젝트였네.
081-004	의자에 기대어 눈을 비빈다.⏎겸사겸사 부들부들 떨릴 만큼 힘껏 몸도 쭉 편다.
081-005	애초에 무슨 곡이었더라……? 인디 영화?⏎에이전트한테는 호평이었는데, 제대로 상대한테 꽂히면 좋겠다.⏎너무 바빠서 직접 얘기할 기회가 없었고…….
081-006	제목이 뭐였더라. 시간 내서 봐야 하는데…….
081-007	제목을 떠올려 보려고 메일을 뒤적이다⏎문득 'AARC'에 대해 생각한다.
081-008	맡았던 의뢰는 이걸로 전부……,⏎이제 'AARC' 활동에 집중할 수 있다.⏎……뭐, 배분을 다시 짰을 뿐이고 'AARC'만 하는 것도 아니지만.
081-009	에이전트한테서도 그걸로 오케이란 말을 들었다.
081-010	그리고 그 '기계 수리' 과제 말인데……,
081-011	……지금까지 진전은 없음.⏎근데 딱히 문제없나? 아직 기한까지 이 주 넘게 남았고.
081-012	그래, 별로 대단한 얘기도 아닌 것 같고……,
081-013	영화 제목을 찾아서 개봉 예정일과 함께 메모해 둔다.
081-014	……
081-015	그럼 이걸로 끝이란 건……,
081-016	책상 위 개인 폰으로 눈을 돌린다.
081-017	"……"
081-018	손에 들고 연락도 넣는다.
081-019	일, 다 끝냈어.⏎아직도 나랑 놀고 싶어?
081-020	네!? 지금부터요!?
081-021	어
081-022	"풋……"
081-023	"진짜 이상한 애네"
081-024	죄송해요.
081-025	아니, 언제로 할지 얘기야
081-026	편한 날 있어?
081-027	내일 와 주셔도 괜찮아요?⏎저
081-028	……'저'가 뭐?
081-029	부끄러우니까 그만할게요.⏎잊어 주세요.
081-030	왜? 제대로 말해 줘.⏎뭐라고 하려던 거야.
081-031	저, 계속 기대하고 있었어요! 라고요!!⏎자, 잊어 주세요! 지금 잊어 주세요!!
081-032	"아하하! '기대하고 있었다', 라……"
081-033	"……"
081-034	좋아, 내일이라도.
081-035	앗싸! 감사합니다!
081-036	나야말로 불러줘서 고마워.
081-037	최대한 잘 대접할게요!
081-038	다행이다.⏎실망 안 해도 되겠네.
081-039	혹시 저녁밥도 만들어 주고 그러는 거야?
081-040	저녁밥은 안 만들어요!!
081-041	어. 점심밥은 만들어 주면서……,
081-042	안 돼? 정말 안 돼?
081-043	안 돼요!!
081-044	(；ω；)
081-045	"음……"
081-046	의자에서 일어선다.
081-047	"자, 됐다……⏎……잘까. 샤워하자, 샤워."
081-048	하루를 마칠 준비를 하면서…….
081-049	……어느새 나는 내일 일을 생각하고 있었다.
081-050	'아직 활동 중'이라 주장할 수 있을 정도로는 릴리스도 계속하고 싶고.
